entry_ts,exit_ts,label,exit_type,pnl_1x,entry_price,sl,tp,gap_atr_ratio,gap_dollars,gap_m1_atr_ratio,h1_atr,m1_atr,h1_vol_pct,hour_et,dow_et,m1_bars_since_sweep,m1_bars_since_choch
2025-06-27T14:53:00+00:00,2025-06-27T15:54:00+00:00,0,TIME,-61.0,22778.5,22853.5,22688.5,0.448766,30.0,1.263158,33.425,11.875,0.1,10,4,113,98
2025-06-27T17:46:00+00:00,2025-06-29T23:03:00+00:00,0,TIME,-126.0,22761.75,22861.75,22641.75,0.526662,40.0,2.0,37.975,10.0,0.2833,13,4,286,271
2025-06-30T13:34:00+00:00,2025-06-30T14:39:00+00:00,0,TIME,45.0,22841.0,22906.0,22763.0,0.257298,26.0,1.477273,50.525,8.8,0.55,9,0,201,49
2025-07-02T14:46:00+00:00,2025-07-02T15:47:00+00:00,0,TIME,-55.0,22797.5,22886.25,22691.0,0.40711,35.5,1.526882,43.6,11.625,0.55,10,2,224,224
2025-07-07T13:35:00+00:00,2025-07-07T14:36:00+00:00,0,TIME,18.0,22935.0,23006.25,22849.5,0.352069,28.5,1.16208,40.475,12.2625,0.1833,9,0,35,20
2025-07-10T14:22:00+00:00,2025-07-10T15:37:00+00:00,0,TIME,-102.0,22952.0,23018.25,22872.5,0.43107,26.5,0.832025,30.7375,15.925,0.0333,10,3,82,22
2025-07-11T00:24:00+00:00,2025-07-11T02:27:00+00:00,0,TIME,30.0,22935.5,23004.25,22853.0,0.31339,27.5,1.15304,43.875,11.925,0.5417,20,3,169,169
2025-07-15T02:19:00+00:00,2025-07-15T04:59:00+00:00,0,TIME,-33.5,23098.5,23183.5,22996.5,0.414634,34.0,1.445271,41.0,11.7625,0.1333,22,0,146,146
2025-07-16T15:54:00+00:00,2025-07-16T15:56:00+00:00,0,SL,-142.5,22937.0,23008.25,22851.5,0.304081,28.5,0.598739,46.8625,23.8,0.3,11,2,54,9
2025-07-23T13:47:00+00:00,2025-07-23T14:48:00+00:00,0,TIME,15.5,23187.5,23272.5,23085.5,0.429972,34.0,0.933425,39.5375,18.2125,0.55,9,2,162,147
2025-07-24T14:11:00+00:00,2025-07-24T15:37:00+00:00,0,TIME,-59.5,23346.25,23418.75,23259.25,0.407303,29.0,1.077066,35.6,13.4625,0.2417,10,3,131,86
2025-07-30T14:11:00+00:00,2025-07-30T14:52:00+00:00,0,SL,-92.5,23488.0,23534.25,23432.5,0.338983,18.5,0.788072,27.2875,11.7375,0.0333,10,2,131,116
2025-07-30T14:59:00+00:00,2025-07-30T17:15:00+00:00,0,TIME,-2.0,23531.5,23577.75,23476.0,0.338983,18.5,1.280277,27.2875,7.225,0.0333,10,2,179,164
2025-07-30T19:01:00+00:00,2025-07-30T20:03:00+00:00,0,SL,-210.0,23422.75,23527.75,23296.75,0.673887,42.0,0.806142,31.1625,26.05,0.225,15,2,1,1
2025-08-04T14:52:00+00:00,2025-08-04T16:53:00+00:00,0,TIME,-84.0,23231.5,23327.75,23116.0,0.362609,38.5,1.560284,53.0875,12.3375,0.475,10,0,286,216
2025-08-06T13:38:00+00:00,2025-08-06T14:06:00+00:00,0,SL,-167.5,23192.0,23275.75,23091.5,0.299709,33.5,1.022901,55.8875,16.375,0.3667,9,2,275,232
2025-08-14T14:59:00+00:00,2025-08-14T15:26:00+00:00,1,TP,135.0,23959.5,24015.75,23892.0,0.311526,22.5,1.041667,36.1125,10.8,0.1083,10,3,119,119
2025-08-14T15:27:00+00:00,2025-08-14T16:33:00+00:00,0,TIME,-9.0,23898.5,24014.75,23759.0,0.574961,46.5,1.858142,40.4375,12.5125,0.2417,11,3,147,147
2025-08-15T15:24:00+00:00,2025-08-15T15:43:00+00:00,1,TP,135.0,23817.5,23873.75,23750.0,0.275061,22.5,1.040462,40.9,10.8125,0.3083,11,4,84,84
2025-08-21T17:00:00+00:00,2025-08-21T18:02:00+00:00,0,TIME,-97.5,23169.5,23240.75,23084.0,0.256641,28.5,1.13659,55.525,12.5375,0.75,13,3,240,240
2025-08-28T13:52:00+00:00,2025-08-28T15:07:00+00:00,0,TIME,-118.0,23644.5,23749.5,23518.5,0.420526,42.0,0.751006,49.9375,27.9625,0.525,9,3,279,186
2025-09-17T18:14:00+00:00,2025-09-17T18:43:00+00:00,1,TP,192.0,24402.75,24482.75,24306.75,0.479401,32.0,0.555797,33.375,28.7875,0.3917,14,2,254,239
2025-09-17T18:54:00+00:00,2025-09-17T19:00:00+00:00,0,SL,-220.0,24286.0,24396.0,24154.0,0.659176,44.0,0.507058,33.375,43.3875,0.3917,14,2,294,279
2025-09-25T12:00:00+00:00,2025-09-25T13:04:00+00:00,0,TIME,95.0,24604.5,24667.0,24529.5,0.311236,25.0,1.254705,40.1625,9.9625,0.55,8,3,0,0
2025-09-25T13:32:00+00:00,2025-09-25T14:34:00+00:00,0,TIME,-131.5,24560.5,24686.75,24409.0,0.649727,50.5,2.02,38.8625,12.5,0.3833,9,3,92,92
2025-09-25T14:52:00+00:00,2025-09-25T15:46:00+00:00,0,SL,-110.0,24639.5,24694.5,24573.5,0.280612,22.0,0.666667,39.2,16.5,0.4333,10,3,172,172
2025-10-02T14:48:00+00:00,2025-10-02T15:49:00+00:00,0,TIME,45.0,25047.0,25094.5,24990.0,0.310711,19.0,0.656304,30.575,14.475,0.0083,10,3,48,48
2025-10-03T13:43:00+00:00,2025-10-03T14:47:00+00:00,0,TIME,59.5,25142.5,25253.75,25009.0,0.782074,44.5,1.385214,28.45,16.0625,0.0083,9,4,162,162
2025-10-03T18:34:00+00:00,2025-10-03T19:36:00+00:00,0,TIME,6.5,25017.25,25087.25,24933.25,0.422482,28.0,1.070746,33.1375,13.075,0.0917,14,4,94,64
2025-10-03T19:52:00+00:00,2025-10-03T20:56:00+00:00,0,TIME,54.5,25011.25,25066.25,24945.25,0.256112,22.0,1.284672,42.95,8.5625,0.3167,15,4,172,142
2025-10-16T16:32:00+00:00,2025-10-16T17:52:00+00:00,0,TIME,0.0,24852.5,24991.25,24686.0,0.441967,55.5,0.994624,62.7875,27.9,0.225,12,3,272,32
2025-10-16T18:33:00+00:00,2025-10-16T18:46:00+00:00,0,SL,-212.5,24678.5,24784.75,24551.0,0.275705,42.5,0.743982,77.075,28.5625,0.3083,14,3,41,3
2025-10-22T15:23:00+00:00,2025-10-22T16:31:00+00:00,1,TP,339.0,25094.0,25235.25,24924.5,0.60331,56.5,1.572721,46.825,17.9625,0.2167,11,2,203,53
2025-10-29T17:27:00+00:00,2025-10-29T18:31:00+00:00,0,TIME,-8.5,26234.5,26300.75,26155.0,0.334807,26.5,1.992481,39.575,6.65,0.25,13,2,147,102
2025-10-31T14:23:00+00:00,2025-10-31T15:24:00+00:00,0,TIME,-137.5,26092.5,26191.25,25974.0,0.302103,39.5,0.941597,65.375,20.975,0.6667,10,4,83,38
2025-10-31T15:39:00+00:00,2025-10-31T16:12:00+00:00,1,TP,252.0,26117.25,26222.25,25991.25,0.306346,42.0,1.721311,68.55,12.2,0.675,11,4,159,114
2025-10-31T16:42:00+00:00,2025-10-31T19:22:00+00:00,0,TIME,-114.0,26006.5,26116.5,25874.5,0.313837,44.0,1.274439,70.1,17.2625,0.6917,12,4,222,177
2025-11-03T17:02:00+00:00,2025-11-03T18:09:00+00:00,0,TIME,-84.5,26108.0,26206.75,25989.5,0.331167,39.5,1.460259,59.6375,13.525,0.4667,12,0,122,92
2025-11-06T14:42:00+00:00,2025-11-06T15:01:00+00:00,1,TP,249.0,25633.0,25736.75,25508.5,0.319354,41.5,0.900217,64.975,23.05,0.15,9,3,282,27
2025-11-06T15:14:00+00:00,2025-11-06T15:45:00+00:00,1,TP,249.0,25461.5,25565.25,25337.0,0.325938,41.5,0.677828,63.6625,30.6125,0.125,10,3,13,13
2025-11-06T16:37:00+00:00,2025-11-06T18:11:00+00:00,0,TIME,105.0,25287.5,25380.0,25176.5,0.254427,37.0,0.676108,72.7125,27.3625,0.4167,11,3,96,96
2025-11-07T15:02:00+00:00,2025-11-07T15:54:00+00:00,1,TP,300.0,24988.75,25113.75,24838.75,0.272035,50.0,0.629921,91.9,39.6875,0.6583,10,4,62,17
2025-11-10T20:57:00+00:00,2025-11-10T23:04:00+00:00,0,TIME,40.0,25734.5,25859.5,25584.5,0.356506,50.0,2.089864,70.125,11.9625,0.1833,15,0,297,267
2025-11-13T14:08:00+00:00,2025-11-13T14:37:00+00:00,1,TP,231.0,25485.5,25581.75,25370.0,0.264196,38.5,1.54,72.8625,12.5,0.4917,9,3,8,8
