pnl,win,bars_held,exit_type,timestamp,direction
-81.8,0,12,sl,2026-02-06T15:22:00+00:00,bearish
-9.8,0,1,sl,2026-02-06T19:23:00+00:00,bearish
-24.8,0,5,sl,2026-02-11T08:28:00+00:00,bearish
62.7,1,5,tp,2026-02-11T19:05:00+00:00,bearish
-48.8,0,24,sl,2026-02-12T19:19:00+00:00,bearish
82.7,1,6,tp,2026-02-13T19:47:00+00:00,bearish
-17.3,0,1,sl,2026-02-16T15:51:00+00:00,bearish
-12.3,0,3,sl,2026-02-18T19:09:00+00:00,bearish
-13.3,0,2,sl,2026-02-23T19:45:00+00:00,bearish
42.7,1,1,tp,2026-02-24T08:18:00+00:00,bearish
-10.3,0,2,sl,2026-02-27T19:36:00+00:00,bearish
437.95,1,21,tp,2026-03-02T08:04:00+00:00,bearish
-85.3,0,3,sl,2026-03-02T19:13:00+00:00,bearish
441.45,1,5,tp,2026-03-03T08:12:00+00:00,bearish
-43.3,0,7,sl,2026-03-03T19:38:00+00:00,bearish
45.95,1,4,tp,2026-03-04T08:07:00+00:00,bearish
-29.3,0,3,sl,2026-03-04T19:16:00+00:00,bearish
458.2,1,23,tp,2026-03-05T08:01:00+00:00,bearish
-40.3,0,2,sl,2026-03-05T15:37:00+00:00,bearish
-81.3,0,7,sl,2026-03-05T19:14:00+00:00,bearish
420.45,1,2,tp,2026-03-06T08:23:00+00:00,bearish
84.95,1,7,tp,2026-03-06T19:31:00+00:00,bearish
-26.8,0,2,sl,2026-03-09T19:18:00+00:00,bearish
-16.3,0,2,sl,2026-03-10T09:09:00+00:00,bearish
45.7,1,1,tp,2026-03-12T19:02:00+00:00,bearish
-18.8,0,4,sl,2026-03-13T08:20:00+00:00,bearish
67.45,1,2,tp,2026-03-13T15:40:00+00:00,bearish
18.45,1,3,tp,2026-03-18T08:32:00+00:00,bearish
39.45,1,1,tp,2026-03-19T08:39:00+00:00,bearish
82.7,1,10,tp,2026-03-20T08:36:00+00:00,bearish
127.45,1,1,tp,2026-03-25T15:16:00+00:00,bearish
39.2,1,3,tp,2026-03-27T08:46:00+00:00,bearish
-16.8,0,3,sl,2026-04-01T08:16:00+00:00,bearish
-22.3,0,2,sl,2026-04-01T15:36:00+00:00,bearish
-9.3,0,1,sl,2026-04-08T08:06:00+00:00,bearish
-6.8,0,1,sl,2026-04-10T19:50:00+00:00,bearish
-38.8,0,11,sl,2026-04-15T15:17:00+00:00,bearish
-10.8,0,1,sl,2026-04-16T08:43:00+00:00,bearish
-20.3,0,7,sl,2026-04-20T08:15:00+00:00,bearish
-9.3,0,1,sl,2026-04-20T19:32:00+00:00,bearish
-19.3,0,5,sl,2026-04-22T08:47:00+00:00,bearish
49.45,1,13,tp,2026-04-22T15:49:00+00:00,bearish
-9.8,0,2,sl,2026-04-23T08:25:00+00:00,bearish
-42.3,0,12,sl,2026-04-27T15:31:00+00:00,bearish
-10.8,0,5,sl,2026-04-27T19:41:00+00:00,bearish
26.95,1,1,tp,2026-04-28T19:59:00+00:00,bearish
-22.3,0,9,sl,2026-04-29T19:03:00+00:00,bearish
-3.3,0,1,sl,2026-05-01T08:35:00+00:00,bearish
