pnl,win,bars_held,exit_type,timestamp,direction
-4.8,0,120,time,2025-11-03 02:44:00,bearish
43.2,1,16,tp,2025-11-03 07:33:00,bearish
83.2,1,21,tp,2025-11-03 16:36:00,bullish
113.2,1,57,tp,2025-11-03 17:01:00,bullish
-114.3,0,73,sl,2025-11-04 01:31:00,bullish
55.7,1,59,tp,2025-11-04 03:03:00,bearish
-64.3,0,9,sl,2025-11-04 09:00:00,bullish
-126.8,0,41,sl,2025-11-04 09:15:00,bullish
50.7,1,10,tp,2025-11-04 10:38:00,bullish
-94.3,0,74,sl,2025-11-04 12:18:00,bullish
-86.55,0,120,time,2025-11-04 18:27:00,bullish
-61.8,0,46,sl,2025-11-04 23:16:00,bullish
100.7,1,23,tp,2025-11-05 02:23:00,bullish
143.2,1,39,tp,2025-11-05 02:50:00,bullish
113.2,1,89,tp,2025-11-05 07:40:00,bullish
-89.3,0,9,sl,2025-11-06 01:20:00,bullish
55.7,1,40,tp,2025-11-06 02:01:00,bullish
48.2,1,28,tp,2025-11-06 02:45:00,bullish
-59.3,0,77,sl,2025-11-06 10:50:00,bearish
95.7,1,18,tp,2025-11-06 14:13:00,bearish
205.7,1,12,tp,2025-11-06 14:46:00,bearish
205.7,1,21,tp,2025-11-06 15:17:00,bearish
-124.3,0,81,sl,2025-11-07 02:42:00,bullish
-71.8,0,65,sl,2025-11-07 07:23:00,bullish
-141.8,0,52,sl,2025-11-07 09:23:00,bullish
-81.8,0,12,sl,2025-11-07 10:27:00,bearish
113.2,1,17,tp,2025-11-07 12:27:00,bearish
-94.3,0,17,sl,2025-11-07 14:14:00,bullish
255.7,1,62,tp,2025-11-07 14:44:00,bearish
-106.8,0,9,sl,2025-11-07 16:03:00,bullish
-114.3,0,11,sl,2025-11-07 16:47:00,bullish
93.2,1,3,tp,2025-11-07 18:37:00,bullish
-99.3,0,6,sl,2025-11-07 18:44:00,bullish
90.7,1,30,tp,2025-11-07 19:01:00,bullish
190.7,1,70,tp,2025-11-07 19:48:00,bullish
-56.8,0,12,sl,2025-11-10 01:40:00,bearish
-76.8,0,51,sl,2025-11-10 02:13:00,bearish
35.7,1,32,tp,2025-11-10 07:41:00,bearish
-56.8,0,19,sl,2025-11-10 08:16:00,bearish
133.2,1,33,tp,2025-11-10 17:10:00,bullish
60.7,1,52,tp,2025-11-10 18:35:00,bullish
48.2,1,16,tp,2025-11-10 19:32:00,bullish
38.2,1,11,tp,2025-11-10 20:03:00,bullish
-59.3,0,22,sl,2025-11-10 20:27:00,bearish
65.7,1,7,tp,2025-11-10 20:53:00,bearish
-66.8,0,37,sl,2025-11-10 23:22:00,bearish
37.2,1,120,time,2025-11-11 02:10:00,bearish
73.2,1,69,tp,2025-11-12 10:19:00,bearish
100.7,1,13,tp,2025-11-12 15:40:00,bearish
33.2,1,6,tp,2025-11-13 07:36:00,bearish
68.2,1,23,tp,2025-11-13 07:51:00,bearish
80.7,1,35,tp,2025-11-13 08:33:00,bearish
80.7,1,16,tp,2025-11-13 09:14:00,bearish
-134.3,0,42,sl,2025-11-13 09:40:00,bearish
-194.3,0,23,sl,2025-11-13 15:12:00,bullish
108.2,1,39,tp,2025-11-13 18:47:00,bullish
-136.8,0,17,sl,2025-11-13 19:39:00,bullish
115.7,1,33,tp,2025-11-14 08:30:00,bullish
-229.3,0,120,sl,2025-11-14 09:08:00,bullish
190.7,1,27,tp,2025-11-14 14:12:00,bullish
200.7,1,20,tp,2025-11-14 15:19:00,bullish
268.2,1,32,tp,2025-11-14 15:56:00,bullish
285.7,1,113,tp,2025-11-14 16:51:00,bearish
170.7,1,41,tp,2025-11-14 19:06:00,bullish
118.2,1,26,tp,2025-11-14 20:24:00,bearish
75.7,1,47,tp,2025-11-17 02:09:00,bullish
-199.3,0,34,sl,2025-11-17 15:33:00,bullish
-161.8,0,6,sl,2025-11-17 18:50:00,bullish
-184.3,0,28,sl,2025-11-17 19:32:00,bullish
105.7,1,23,tp,2025-11-18 08:12:00,bullish
85.7,1,29,tp,2025-11-18 08:48:00,bullish
-99.3,0,76,sl,2025-11-18 09:59:00,bullish
-216.8,0,103,sl,2025-11-18 18:43:00,bullish
-61.8,0,25,sl,2025-11-19 07:49:00,bullish
-99.3,0,30,sl,2025-11-19 08:37:00,bullish
55.7,1,10,tp,2025-11-19 11:02:00,bullish
135.7,1,38,tp,2025-11-19 16:27:00,bearish
223.2,1,31,tp,2025-11-19 17:07:00,bearish
-169.3,0,103,sl,2025-11-19 18:33:00,bearish
255.7,1,58,tp,2025-11-19 20:24:00,bullish
243.2,1,78,tp,2025-11-19 23:26:00,bullish
163.2,1,6,tp,2025-11-20 16:07:00,bearish
-266.8,0,11,sl,2025-11-20 17:56:00,bearish
223.2,1,100,tp,2025-11-20 18:59:00,bearish
183.2,1,75,tp,2025-11-20 23:03:00,bullish
-94.3,0,24,sl,2025-11-21 14:07:00,bearish
293.2,1,37,tp,2025-11-21 14:41:00,bearish
258.2,1,14,tp,2025-11-21 15:23:00,bearish
200.7,1,20,tp,2025-11-21 16:32:00,bullish
193.2,1,49,tp,2025-11-21 17:22:00,bearish
215.7,1,73,tp,2025-11-24 08:14:00,bearish
-139.3,0,111,sl,2025-11-24 10:39:00,bearish
35.7,1,8,tp,2025-11-25 07:37:00,bullish
-49.3,0,22,sl,2025-11-25 07:50:00,bullish
-91.8,0,18,sl,2025-11-25 09:08:00,bullish
-69.3,0,30,sl,2025-11-25 18:01:00,bearish
53.2,1,11,tp,2025-11-25 19:06:00,bearish
83.2,1,16,tp,2025-11-26 14:15:00,bullish
-134.3,0,33,sl,2025-11-26 15:03:00,bearish
78.2,1,6,tp,2025-11-26 16:03:00,bullish
63.2,1,6,tp,2025-11-26 16:31:00,bullish
-56.8,0,7,sl,2025-11-26 17:49:00,bullish
-46.8,0,4,sl,2025-11-26 18:06:00,bullish
-38.3,0,120,time,2025-11-26 18:15:00,bearish
-24.3,0,10,sl,2025-11-27 09:39:00,bullish
-12.3,0,120,time,2025-11-27 14:37:00,bullish
