root,symbol,observations,first,last,internal_missing,zero_volume,zero_oi,repeated_close_steps,longest_equal_close_run,repeat_flag_rows,after_broker_expiry
HE,LHQ26,181,2025-04-14T18:05:00Z,2025-12-31T19:05:00Z,0,19,3,5,2,0,0
HE,LHV25,197,2025-01-02T19:05:00Z,2025-10-14T18:05:00Z,0,0,0,3,2,0,0
HE,LHV26,157,2025-05-14T18:05:00Z,2025-12-31T19:05:00Z,3,27,13,12,3,1,0
HE,LHZ25,239,2025-01-02T19:05:00Z,2025-12-12T19:05:00Z,0,0,0,3,2,0,0
HE,LHZ26,133,2025-06-13T18:05:00Z,2025-12-31T19:05:00Z,6,27,16,4,2,0,0
NG,NGF26,249,2025-01-02T22:00:00Z,2025-12-29T22:00:00Z,0,0,0,1,2,0,0
NG,NGF27,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,4,2,0,0
NG,NGG25,19,2025-01-02T22:00:00Z,2025-01-29T22:00:00Z,0,0,0,0,1,0,0
NG,NGG26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,1,2,0,0
NG,NGH25,38,2025-01-02T22:00:00Z,2025-02-26T22:00:00Z,0,0,0,0,1,0,0
NG,NGH26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,2,2,0,0
NG,NGJ25,59,2025-01-02T22:00:00Z,2025-03-27T21:00:00Z,0,0,0,1,2,0,0
NG,NGJ26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,1,2,0,0
NG,NGK25,80,2025-01-02T22:00:00Z,2025-04-28T21:00:00Z,0,0,0,0,1,0,0
NG,NGK26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,0,1,0,0
NG,NGM25,101,2025-01-02T22:00:00Z,2025-05-28T21:00:00Z,0,0,0,0,1,0,0
NG,NGM26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,0,1,0,0
NG,NGN25,121,2025-01-02T22:00:00Z,2025-06-26T21:00:00Z,0,0,0,0,1,0,0
NG,NGN26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,2,2,0,0
NG,NGQ25,143,2025-01-02T22:00:00Z,2025-07-29T21:00:00Z,0,0,0,1,2,0,0
NG,NGQ26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,1,2,0,0
NG,NGU25,164,2025-01-02T22:00:00Z,2025-08-27T21:00:00Z,0,0,0,0,1,0,0
NG,NGU26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,1,2,0,0
NG,NGV25,185,2025-01-02T22:00:00Z,2025-09-26T21:00:00Z,0,0,0,0,1,0,0
NG,NGV26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,1,2,0,0
NG,NGX25,208,2025-01-02T22:00:00Z,2025-10-29T21:00:00Z,0,0,0,3,2,0,0
NG,NGX26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,2,2,0,0
NG,NGZ25,227,2025-01-02T22:00:00Z,2025-11-25T22:00:00Z,0,0,0,0,1,0,0
NG,NGZ26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,5,2,0,0
RB,RBF26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,0,1,0,0
RB,RBF27,249,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,2,110,0,1,2,0,0
RB,RBG25,21,2025-01-02T22:00:00Z,2025-01-31T22:00:00Z,0,0,0,0,1,0,0
RB,RBG26,250,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,1,0,0,0,1,0,0
RB,RBH25,40,2025-01-02T22:00:00Z,2025-02-28T22:00:00Z,0,0,0,1,2,0,0
RB,RBH26,250,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,1,2,0,1,2,0,0
RB,RBJ25,61,2025-01-02T22:00:00Z,2025-03-31T21:00:00Z,0,0,0,0,1,0,0
RB,RBJ26,250,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,1,28,0,0,1,0,0
RB,RBK25,82,2025-01-02T22:00:00Z,2025-04-30T21:00:00Z,0,0,0,0,1,0,0
RB,RBK26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,28,0,0,1,0,0
RB,RBM25,103,2025-01-02T22:00:00Z,2025-05-30T21:00:00Z,0,0,0,0,1,0,0
RB,RBM26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,25,0,0,1,0,0
RB,RBN25,123,2025-01-02T22:00:00Z,2025-06-30T21:00:00Z,0,0,0,0,1,0,0
RB,RBN26,250,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,1,39,0,0,1,0,0
RB,RBQ25,145,2025-01-02T22:00:00Z,2025-07-31T21:00:00Z,0,0,0,0,1,0,0
RB,RBQ26,250,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,1,55,0,1,2,0,0
RB,RBU25,166,2025-01-02T22:00:00Z,2025-08-29T21:00:00Z,0,0,0,0,1,0,0
RB,RBU26,250,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,1,58,0,0,1,0,0
RB,RBV25,187,2025-01-02T22:00:00Z,2025-09-30T21:00:00Z,0,0,0,0,1,0,0
RB,RBV26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,69,0,1,2,0,0
RB,RBX25,210,2025-01-02T22:00:00Z,2025-10-31T21:00:00Z,0,0,0,0,1,0,0
RB,RBX26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,73,0,0,1,0,0
RB,RBZ25,229,2025-01-02T22:00:00Z,2025-11-28T22:00:00Z,0,0,0,1,2,0,0
RB,RBZ26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,27,0,1,2,0,0
ZS,SF25,8,2025-01-02T19:20:00Z,2025-01-14T19:20:00Z,0,0,0,0,1,0,0
ZS,SF26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,0,0,6,2,0,0
ZS,SH25,49,2025-01-02T19:20:00Z,2025-03-14T18:20:00Z,0,0,0,2,2,0,0
ZS,SH26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,0,0,3,2,0,0
ZS,SK25,91,2025-01-02T19:20:00Z,2025-05-14T18:20:00Z,0,0,0,1,2,0,0
ZS,SK26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,0,0,3,2,0,0
ZM,SMF25,8,2025-01-02T19:20:00Z,2025-01-14T19:20:00Z,0,0,0,0,1,0,0
ZM,SMF26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,0,0,5,2,0,0
ZM,SMH25,49,2025-01-02T19:20:00Z,2025-03-14T18:20:00Z,0,0,0,0,1,0,0
ZM,SMH26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,0,0,6,2,0,0
ZM,SMK25,91,2025-01-02T19:20:00Z,2025-05-14T18:20:00Z,0,0,0,1,2,0,0
ZM,SMK26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,0,0,4,2,0,0
ZM,SMN25,131,2025-01-02T19:20:00Z,2025-07-14T18:20:00Z,0,0,0,3,2,0,0
ZM,SMN26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,1,0,8,2,0,0
ZM,SMQ25,154,2025-01-02T19:20:00Z,2025-08-14T18:20:00Z,0,0,0,3,2,0,0
ZM,SMQ26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,12,0,12,2,0,0
ZM,SMU25,173,2025-01-02T19:20:00Z,2025-09-11T18:20:00Z,0,0,0,4,2,0,0
ZM,SMU26,248,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,2,21,0,10,2,0,0
ZM,SMV25,196,2025-01-02T19:20:00Z,2025-10-14T18:20:00Z,0,0,0,1,2,0,0
ZM,SMV26,248,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,2,24,0,8,2,0,0
ZM,SMZ25,238,2025-01-02T19:20:00Z,2025-12-12T19:20:00Z,0,0,0,5,2,0,0
ZM,SMZ26,248,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,2,13,0,4,2,0,0
ZS,SN25,131,2025-01-02T19:20:00Z,2025-07-14T18:20:00Z,0,0,0,1,2,0,0
ZS,SN26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,0,0,2,2,0,0
ZS,SQ25,154,2025-01-02T19:20:00Z,2025-08-14T18:20:00Z,0,0,0,4,2,0,0
ZS,SQ26,248,2025-01-03T19:20:00Z,2025-12-31T19:20:00Z,1,30,0,3,2,0,0
ZS,SU25,174,2025-01-02T19:20:00Z,2025-09-12T18:20:00Z,0,0,0,4,2,0,0
ZS,SU26,249,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,1,22,0,4,2,0,0
ZS,SX25,219,2025-01-02T19:20:00Z,2025-11-14T19:20:00Z,0,0,0,4,2,0,0
ZS,SX26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,0,0,6,2,0,0
ZW,WH25,49,2025-01-02T19:20:00Z,2025-03-14T18:20:00Z,0,0,0,1,2,0,0
ZW,WH26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,0,0,3,2,0,0
ZW,WK25,91,2025-01-02T19:20:00Z,2025-05-14T18:20:00Z,0,0,0,0,1,0,0
ZW,WK26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,1,0,4,2,0,0
ZW,WN25,131,2025-01-02T19:20:00Z,2025-07-14T18:20:00Z,0,0,0,3,2,0,0
ZW,WN26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,2,0,7,2,0,0
ZW,WU25,173,2025-01-02T19:20:00Z,2025-09-11T18:20:00Z,0,0,0,1,2,0,0
ZW,WU26,247,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,3,16,0,2,2,0,0
ZW,WZ25,237,2025-01-02T19:20:00Z,2025-12-11T19:20:00Z,0,0,0,6,2,0,0
ZW,WZ26,248,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,2,17,0,5,2,0,0
