date,dir,gap_pct,outcome,pnl_usd,net
2024-03-27,short,0.646,fill,238.5,233.05
2024-04-02,long,1.136,time,4.5,-0.9500000000000002
2024-04-03,long,0.547,fill,200.5,195.05
2024-04-04,short,0.936,time,-30.0,-35.45
2024-04-09,short,0.519,fill,190.0,184.55
2024-04-10,long,1.169,time,129.5,124.05
2024-04-15,short,0.919,fill,334.0,328.55
2024-04-22,short,0.593,fill,204.0,198.55
2024-04-23,short,0.578,time,-309.5,-314.95
2024-04-24,short,0.763,fill,268.5,263.05
2024-04-25,long,1.815,time,279.5,274.05
2024-05-02,short,0.733,fill,256.0,250.55
2024-05-08,long,0.614,fill,223.5,218.05
2024-05-23,short,1.1,time,253.0,247.55
2024-05-29,long,0.823,time,228.0,222.55
2024-06-03,short,0.755,fill,280.5,275.05
2024-06-05,short,0.732,time,-320.5,-325.95
2024-06-12,short,0.892,time,-202.0,-207.45
2024-07-17,long,1.711,time,-385.5,-390.95
2024-07-18,short,0.651,fill,260.5,255.05
2024-07-22,short,1.262,time,-10.5,-15.95
2024-07-24,long,1.389,time,-647.0,-652.45
2024-07-29,short,0.67,fill,256.5,251.05
2024-07-31,short,2.126,time,-106.5,-111.95
2024-08-05,long,5.073,time,871.0,865.55
2024-08-06,short,0.515,fill,185.5,180.05
2024-08-07,short,1.575,time,346.0,340.55
2024-08-08,short,1.464,time,-325.0,-330.45
2024-08-13,short,1.113,time,-487.5,-492.95
2024-08-15,short,1.128,time,-367.0,-372.45
2024-12-04,short,0.681,time,-104.5,-109.95
2024-12-11,short,0.876,time,-386.5,-391.95
2024-12-30,long,1.291,time,237.5,232.05
