ts_utc,symbol,bid,ask,bid_size,ask_size,last,spread
2026-06-26T18:03:02Z,MHGU26,6.1905,6.1915,4,2,6.1915,0.0009999999999994458
2026-06-26T18:03:08Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:03:08Z,MHGU26,6.1905,6.1915,3,3,6.1915,0.0009999999999994458
2026-06-26T18:03:13Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:03:13Z,MHGU26,6.1905,6.1915,1,3,6.1915,0.0009999999999994458
2026-06-26T18:03:18Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:03:18Z,MHGU26,6.1905,6.1915,2,3,6.1915,0.0009999999999994458
2026-06-26T18:03:23Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:03:23Z,MHGU26,6.1905,6.1915,3,3,6.1915,0.0009999999999994458
2026-06-26T18:03:29Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:03:29Z,MHGU26,6.191,6.192,4,2,6.1915,0.001000000000000334
2026-06-26T18:03:34Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:03:34Z,MHGU26,6.1915,6.1925,3,3,6.1915,0.001000000000000334
2026-06-26T18:03:39Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:03:39Z,MHGU26,6.1915,6.1925,4,3,6.1915,0.001000000000000334
2026-06-26T18:03:45Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:03:45Z,MHGU26,6.1925,6.1935,3,3,6.1915,0.001000000000000334
2026-06-26T18:03:50Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:03:50Z,MHGU26,6.193,6.1935,1,3,6.1915,0.0005000000000006111
2026-06-26T18:03:55Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:03:55Z,MHGU26,6.193,6.1935,1,3,6.1915,0.0005000000000006111
2026-06-26T18:04:01Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:04:01Z,MHGU26,6.194,6.195,3,3,6.1945,0.001000000000000334
2026-06-26T18:04:06Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:04:06Z,MHGU26,6.194,6.195,3,3,6.1945,0.001000000000000334
2026-06-26T18:04:11Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:04:11Z,MHGU26,6.194,6.195,4,1,6.1945,0.001000000000000334
2026-06-26T18:04:17Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:04:17Z,MHGU26,6.194,6.195,4,2,6.1945,0.001000000000000334
2026-06-26T18:04:22Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:04:22Z,MHGU26,6.194,6.195,5,1,6.1945,0.001000000000000334
2026-06-26T18:04:27Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:04:27Z,MHGU26,6.194,6.195,4,3,6.1945,0.001000000000000334
2026-06-26T18:04:33Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:04:33Z,MHGU26,6.1945,6.1955,4,3,6.1945,0.001000000000000334
2026-06-26T18:04:38Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:04:38Z,MHGU26,6.195,6.196,2,3,6.1945,0.0009999999999994458
2026-06-26T18:04:43Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:04:43Z,MHGU26,6.195,6.196,1,2,6.1945,0.0009999999999994458
2026-06-26T18:04:49Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:04:49Z,MHGU26,6.1955,6.1965,3,3,6.1945,0.001000000000000334
2026-06-26T18:04:54Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:04:54Z,MHGU26,6.1955,6.1965,3,3,6.1945,0.001000000000000334
2026-06-26T18:04:59Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:04:59Z,MHGU26,6.1955,6.196,1,2,6.1945,0.0004999999999997229
2026-06-26T18:05:04Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:05:04Z,MHGU26,6.1965,6.197,1,1,6.1945,0.0004999999999997229
2026-06-26T18:05:10Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:05:10Z,MHGU26,6.1965,6.1975,1,3,6.1945,0.0009999999999994458
