entry_time,exit_time,entry_price,stop_loss,target_price,exit_price,direction,pnl,exit_reason,killzone_window,bars_held,rr_target
2025-07-07T08:07:00+00:00,2025-07-07T08:10:00+00:00,109065.5,109018.5,109168.0,109012.0,bullish,-49.0,stop_loss,London AM,3,2.18
2025-07-07T14:32:00+00:00,2025-07-07T14:35:00+00:00,108149.5,108070.5,108343.0,108089.0,bullish,-81.0,stop_loss,NY AM,3,2.45
2025-07-08T00:15:00+00:00,2025-07-08T00:17:00+00:00,108267.5,108252.5,108305.0,108218.0,bullish,-17.0,stop_loss,Asia,2,2.5
2025-07-09T08:23:00+00:00,2025-07-09T08:24:00+00:00,108822.0,108816.0,108876.0,108790.0,bullish,-8.0,stop_loss,London AM,1,9.0
2025-07-10T00:15:00+00:00,2025-07-10T00:16:00+00:00,111356.5,111327.5,111541.0,111355.0,bullish,-31.0,stop_loss,Asia,1,6.36
2025-07-11T08:38:00+00:00,2025-07-11T08:40:00+00:00,118026.0,117958.0,118246.0,117909.0,bullish,-70.0,stop_loss,London AM,2,3.24
2025-07-11T14:39:00+00:00,2025-07-11T14:40:00+00:00,118044.0,118012.0,118229.0,117877.0,bullish,-34.0,stop_loss,NY AM,1,5.78
2025-07-14T00:32:00+00:00,2025-07-14T01:02:00+00:00,119211.5,119050.5,119577.0,119036.0,bullish,-163.0,stop_loss,Asia,30,2.27
2025-07-14T14:27:00+00:00,2025-07-14T14:32:00+00:00,121458.5,121225.5,122063.0,121205.0,bullish,-235.0,stop_loss,NY AM,5,2.59
2025-07-16T14:30:00+00:00,2025-07-16T14:31:00+00:00,118520.5,118499.5,118606.0,118568.0,bullish,83.5,target,NY AM,1,4.07
2025-07-17T00:11:00+00:00,2025-07-17T00:12:00+00:00,118814.0,118790.0,118901.0,118910.0,bullish,85.0,target,Asia,1,3.62
2025-07-18T00:34:00+00:00,2025-07-18T00:36:00+00:00,119657.0,119609.0,119805.0,119797.0,bullish,146.0,target,Asia,2,3.08
2025-07-18T14:05:00+00:00,2025-07-18T14:06:00+00:00,118872.5,118851.5,118960.0,119076.0,bullish,85.5,target,NY AM,1,4.17
2025-07-19T00:34:00+00:00,2025-07-19T00:35:00+00:00,118081.5,118070.5,118160.0,118020.0,bullish,-13.0,stop_loss,Asia,1,7.14
2025-07-19T08:15:00+00:00,2025-07-19T08:19:00+00:00,118218.5,118161.5,118389.0,118159.0,bullish,-59.0,stop_loss,London AM,4,2.99
