entry_time,exit_time,direction,entry_price,exit_price,pnl,bars_held,split
2025-07-26 17:30:00+00:00,2025-07-26 20:15:00+00:00,long,118162.0,118062.37128008579,-21.77409055542527,10,train
2025-07-26 20:15:00+00:00,2025-07-27 00:00:00+00:00,long,118199.0,117955.18844274101,-36.188865148035916,14,train
2025-07-27 03:15:00+00:00,2025-07-27 07:00:00+00:00,long,118204.0,118212.34368044644,-10.986449139377964,14,train
2025-07-27 07:00:00+00:00,2025-07-27 08:45:00+00:00,long,118358.0,118086.63118972025,-38.95911258746061,6,train
2025-07-27 08:45:00+00:00,2025-07-27 12:30:00+00:00,long,118148.0,118053.2359207554,-21.286469720498136,14,train
2025-07-27 12:30:00+00:00,2025-07-28 01:30:00+00:00,long,118055.0,119300.57619119679,112.68984031011874,51,train
2025-07-28 01:30:00+00:00,2025-07-28 07:00:00+00:00,long,119496.0,119156.18384413737,-45.914224778469936,21,train
2025-07-28 07:00:00+00:00,2025-07-28 07:30:00+00:00,long,119544.0,119145.9190831318,-51.74258764097685,1,train
2025-07-28 07:30:00+00:00,2025-07-28 13:45:00+00:00,long,119165.0,118588.01922244122,-69.58572871700039,24,train
2025-07-31 10:45:00+00:00,2025-07-31 13:15:00+00:00,long,118560.0,118229.71301194096,-44.868184456501474,9,train
2025-07-31 13:15:00+00:00,2025-07-31 17:15:00+00:00,long,118286.0,117901.94777105893,-50.214620282660235,15,train
2025-08-03 19:00:00+00:00,2025-08-04 05:00:00+00:00,long,114419.0,114388.23259893007,-14.51710173693916,39,train
2025-08-04 05:00:00+00:00,2025-08-04 10:45:00+00:00,long,114420.0,114307.90713006648,-22.645682349855324,22,train
2025-08-04 10:45:00+00:00,2025-08-04 19:30:00+00:00,long,114385.0,114897.3837052899,39.77425134372585,34,train
2025-08-04 19:30:00+00:00,2025-08-05 01:45:00+00:00,long,114950.0,114898.965222119,-16.595926049205502,24,train
2025-08-05 01:45:00+00:00,2025-08-05 03:15:00+00:00,long,114944.0,114488.62936252073,-57.00869521605277,5,train
2025-08-06 22:00:00+00:00,2025-08-07 01:45:00+00:00,long,115107.0,114896.25178578985,-32.57498401030457,14,train
2025-08-07 01:45:00+00:00,2025-08-07 02:30:00+00:00,long,115067.0,114733.15154768454,-44.874852808930434,2,train
2025-08-07 10:30:00+00:00,2025-08-07 16:30:00+00:00,long,115924.0,116204.1516995194,16.408762366963636,23,train
2025-08-07 16:30:00+00:00,2025-08-08 01:15:00+00:00,long,116738.0,117040.56451020546,18.567522795035227,34,train
2025-08-08 01:15:00+00:00,2025-08-08 08:30:00+00:00,long,117272.0,116607.58040461045,-78.13593855918594,28,train
2025-08-08 22:15:00+00:00,2025-08-09 01:15:00+00:00,long,116994.0,116634.03973459173,-47.6774285275566,11,train
2025-08-09 01:15:00+00:00,2025-08-09 11:45:00+00:00,long,116660.0,117263.35115354326,48.6389477966491,41,train
2025-08-09 11:45:00+00:00,2025-08-09 16:45:00+00:00,long,117325.0,116781.48056079347,-66.05726794869281,19,train
2025-08-09 16:45:00+00:00,2025-08-09 21:15:00+00:00,long,116837.0,116647.35273077006,-30.63894455953281,17,train
2025-08-10 03:15:00+00:00,2025-08-10 06:15:00+00:00,long,117977.0,117987.88785207392,-10.709459185211342,11,train
2025-08-10 06:15:00+00:00,2025-08-10 20:15:00+00:00,long,118107.0,118368.06015111919,14.282262104363301,55,train
2025-08-10 20:15:00+00:00,2025-08-11 07:45:00+00:00,long,118402.0,121680.56491066139,315.8523628206055,45,train
2025-08-11 07:45:00+00:00,2025-08-11 11:00:00+00:00,long,121849.0,121135.76625443647,-83.47261286907461,12,train
2025-08-11 11:00:00+00:00,2025-08-11 12:00:00+00:00,long,121224.0,120541.34434332649,-80.35383288451723,3,train
2025-08-11 12:00:00+00:00,2025-08-11 12:30:00+00:00,long,120598.0,119709.89366498268,-100.82602818498123,1,train
2025-08-11 12:30:00+00:00,2025-08-11 17:45:00+00:00,long,120212.0,119682.8242787961,-64.91231333432918,20,train
2025-08-12 07:45:00+00:00,2025-08-12 09:45:00+00:00,long,119048.0,118564.18244588158,-60.26236453413582,7,train
2025-08-12 09:45:00+00:00,2025-08-13 01:00:00+00:00,long,118583.0,119693.93336613772,99.1794899454648,60,train
2025-08-13 11:45:00+00:00,2025-08-13 15:15:00+00:00,long,120787.0,120887.79355357937,-2.0043843197423854,13,train
2025-08-13 15:15:00+00:00,2025-08-14 04:45:00+00:00,long,121045.0,123271.10999120047,210.3951936204872,53,train
2025-08-14 04:45:00+00:00,2025-08-14 05:45:00+00:00,long,123381.0,122666.3204372219,-83.77032229967068,3,train
2025-08-14 05:45:00+00:00,2025-08-14 06:00:00+00:00,long,122736.0,122028.48478039495,-82.9897461995245,0,train
2025-08-14 06:00:00+00:00,2025-08-14 10:30:00+00:00,long,122290.0,121464.82014300897,-94.70572670625361,17,train
2025-08-17 11:45:00+00:00,2025-08-17 16:15:00+00:00,long,118387.0,118149.83351645006,-35.543490030816464,17,train
2025-08-17 16:15:00+00:00,2025-08-17 18:45:00+00:00,long,118190.0,117818.87203803308,-48.91323979859387,9,train
2025-08-22 18:45:00+00:00,2025-08-23 01:30:00+00:00,long,116972.0,116495.71125669134,-59.30225989370037,26,train
2025-08-23 01:30:00+00:00,2025-08-23 02:15:00+00:00,long,116614.0,116136.58652077468,-59.378877248570454,2,train
2025-08-23 02:15:00+00:00,2025-08-23 03:30:00+00:00,long,116251.0,115667.09409959763,-69.98649474521719,4,train
2025-08-23 23:30:00+00:00,2025-08-24 02:45:00+00:00,long,115308.0,115237.45263797537,-18.58200883436216,12,train
2025-08-24 02:45:00+00:00,2025-08-24 08:30:00+00:00,long,115248.0,114833.94108827639,-52.909988226774686,22,train
2025-08-27 14:30:00+00:00,2025-08-27 19:00:00+00:00,long,112268.0,111769.34358761975,-61.067508417406266,17,train
2025-08-27 19:00:00+00:00,2025-08-27 22:00:00+00:00,long,112010.0,111313.45257708117,-80.82091492073664,11,train
2025-08-27 22:00:00+00:00,2025-08-28 14:15:00+00:00,long,111577.0,112887.90820595917,119.86757518561951,64,train
2025-08-28 14:15:00+00:00,2025-08-28 18:00:00+00:00,long,113064.0,112336.06364882777,-84.0636382996647,14,train
2025-08-31 18:30:00+00:00,2025-08-31 23:00:00+00:00,long,109036.0,108840.7789890632,-30.41594004313341,17,train
2025-08-31 23:00:00+00:00,2025-08-31 23:15:00+00:00,long,108928.0,108485.94955178525,-55.07574229906443,0,train
2025-08-31 23:15:00+00:00,2025-09-01 00:00:00+00:00,long,108709.0,108228.22294488054,-58.924566659189566,2,train
2025-09-01 00:00:00+00:00,2025-09-01 02:30:00+00:00,long,108246.0,107680.10009182298,-67.38629582229277,9,train
2025-09-02 02:30:00+00:00,2025-09-02 11:45:00+00:00,long,109547.0,109918.14071632529,26.14081459671253,36,train
2025-09-02 11:45:00+00:00,2025-09-02 12:30:00+00:00,long,109949.0,109408.46719041791,-65.02115431772968,2,train
2025-09-02 12:30:00+00:00,2025-09-03 01:15:00+00:00,long,109465.0,111067.84330945338,149.25768877986562,50,train
2025-09-03 01:15:00+00:00,2025-09-03 05:45:00+00:00,long,111250.0,110809.63867874793,-55.139114059144624,17,train
2025-09-03 05:45:00+00:00,2025-09-03 12:45:00+00:00,long,110815.0,111196.84566603697,27.08397432039517,27,train
2025-09-03 12:45:00+00:00,2025-09-03 23:30:00+00:00,long,111289.0,111741.52929623456,34.10140315864385,42,train
2025-09-03 23:30:00+00:00,2025-09-04 02:15:00+00:00,long,111869.0,111622.59630016847,-35.81494979816121,10,train
2025-09-05 14:15:00+00:00,2025-09-05 14:30:00+00:00,long,112280.0,111029.51850062613,-136.21362586241824,0,train
2025-09-05 14:30:00+00:00,2025-09-05 21:30:00+00:00,long,111050.0,110981.51893130856,-17.94968281570968,27,train
2025-09-06 03:15:00+00:00,2025-09-06 04:15:00+00:00,long,111155.0,110862.2964302266,-40.371221798850875,3,train
2025-09-06 04:15:00+00:00,2025-09-06 09:00:00+00:00,long,110917.0,110783.30282641505,-24.45473249981586,18,train
2025-09-06 09:45:00+00:00,2025-09-06 15:30:00+00:00,long,110847.0,110726.08217761098,-23.17043634778249,22,train
2025-09-07 17:45:00+00:00,2025-09-08 00:45:00+00:00,long,111134.0,111079.51768516494,-16.558907367763762,27,train
2025-09-08 00:45:00+00:00,2025-09-08 19:45:00+00:00,long,111206.0,112144.0657628908,82.63907300093484,75,train
2025-09-08 19:45:00+00:00,2025-09-08 23:30:00+00:00,long,112147.0,112069.153660243,-18.995441658712277,14,train
2025-09-08 23:30:00+00:00,2025-09-09 00:15:00+00:00,long,112171.0,111780.51473115734,-50.24610262082405,2,train
2025-09-09 07:30:00+00:00,2025-09-09 11:45:00+00:00,long,113259.0,112617.77585552805,-75.41625323997188,16,train
2025-09-09 11:45:00+00:00,2025-09-09 14:30:00+00:00,long,112647.0,112330.10730862721,-42.93812450271055,10,train
2025-09-09 14:30:00+00:00,2025-09-09 15:00:00+00:00,long,112376.0,111543.1573697043,-94.48022089805463,1,train
2025-09-09 15:00:00+00:00,2025-09-10 00:45:00+00:00,long,111792.0,111140.53719636357,-76.2929072234612,38,train
2025-09-10 02:45:00+00:00,2025-09-10 19:00:00+00:00,long,111539.0,113417.93746853186,176.64589997975958,64,train
2025-09-10 19:00:00+00:00,2025-09-11 09:00:00+00:00,long,113653.0,114019.23987134884,25.240375141316207,55,train
2025-09-11 09:00:00+00:00,2025-09-11 12:30:00+00:00,long,114113.0,113957.69956699463,-26.93357827888637,13,train
2025-09-11 12:30:00+00:00,2025-09-11 13:00:00+00:00,long,114441.0,113957.69956699463,-59.74997827888637,1,train
2025-09-11 13:00:00+00:00,2025-09-12 01:45:00+00:00,long,114008.0,115486.34592316924,136.3598750207655,50,train
2025-09-12 01:45:00+00:00,2025-09-12 07:45:00+00:00,long,115661.0,115221.9956483752,-55.444584944898466,23,train
