entry_time,exit_time,dir,reason,pnl_pts,proba
2025-06-23 14:45:00+00:00,2025-06-23 16:15:00+00:00,0,TP,1489.3999999999942,
2025-06-23 17:30:00+00:00,2025-06-23 22:00:00+00:00,1,TP,2498.399999999994,
2025-06-25 10:00:00+00:00,2025-06-25 10:15:00+00:00,0,SL,-424.8999999999942,
2025-06-26 14:45:00+00:00,2025-06-26 15:15:00+00:00,1,SL,-472.3999999999942,
2025-06-26 16:15:00+00:00,2025-06-27 01:00:00+00:00,1,SL,-630.1000000000058,
2025-06-27 05:45:00+00:00,2025-06-27 07:15:00+00:00,0,SL,-334.8000000000029,
2025-06-27 08:00:00+00:00,2025-06-27 15:30:00+00:00,0,SL,-342.3999999999942,
2025-06-27 17:30:00+00:00,2025-06-28 08:30:00+00:00,0,TIME_STOP,-393.0,
2025-06-28 14:30:00+00:00,2025-06-28 15:45:00+00:00,1,TP,258.1999999999971,
2025-06-29 21:45:00+00:00,2025-06-29 22:45:00+00:00,1,TP,556.8000000000029,
2025-06-30 11:00:00+00:00,2025-06-30 14:00:00+00:00,1,SL,-311.8000000000029,
2025-06-30 16:00:00+00:00,2025-06-30 21:45:00+00:00,1,SL,-532.6999999999971,
2025-07-01 15:00:00+00:00,2025-07-02 05:15:00+00:00,0,SL,-562.8999999999942,
2025-07-02 18:00:00+00:00,2025-07-03 09:00:00+00:00,0,TIME_STOP,-516.0,
2025-07-05 05:15:00+00:00,2025-07-05 20:15:00+00:00,0,TIME_STOP,168.0,
2025-07-06 02:45:00+00:00,2025-07-06 10:00:00+00:00,0,TP,309.1999999999971,
2025-07-06 10:45:00+00:00,2025-07-06 13:15:00+00:00,1,TP,317.0,
2025-07-06 20:30:00+00:00,2025-07-06 21:30:00+00:00,1,TP,743.3999999999942,
2025-07-07 19:15:00+00:00,2025-07-08 02:00:00+00:00,1,SL,-594.3999999999942,
2025-07-08 08:45:00+00:00,2025-07-08 10:00:00+00:00,0,SL,-232.10000000000582,
2025-07-08 14:30:00+00:00,2025-07-08 17:15:00+00:00,0,SL,-398.6999999999971,
2025-07-09 05:00:00+00:00,2025-07-09 11:15:00+00:00,1,TP,528.0,
2025-07-10 03:00:00+00:00,2025-07-10 16:15:00+00:00,0,SL,-412.5,
2025-07-12 01:30:00+00:00,2025-07-12 15:15:00+00:00,1,SL,-479.5,
2025-07-12 16:30:00+00:00,2025-07-13 07:30:00+00:00,1,TIME_STOP,655.0,
2025-07-14 08:30:00+00:00,2025-07-14 15:15:00+00:00,0,TP,2058.0,
2025-07-14 17:15:00+00:00,2025-07-14 20:15:00+00:00,1,SL,-990.3000000000029,
2025-07-15 14:45:00+00:00,2025-07-15 23:00:00+00:00,0,SL,-1043.6000000000058,
2025-07-16 01:45:00+00:00,2025-07-16 06:30:00+00:00,0,SL,-635.8000000000029,
2025-07-16 11:00:00+00:00,2025-07-16 14:45:00+00:00,0,SL,-510.6999999999971,
2025-07-16 22:00:00+00:00,2025-07-17 12:15:00+00:00,0,TP,1673.3999999999942,
2025-07-17 20:00:00+00:00,2025-07-17 21:00:00+00:00,0,SL,-734.8999999999942,
2025-07-18 21:15:00+00:00,2025-07-19 12:15:00+00:00,1,TIME_STOP,372.0,
2025-07-19 15:45:00+00:00,2025-07-19 17:15:00+00:00,1,SL,-383.6999999999971,
2025-07-19 20:00:00+00:00,2025-07-19 21:00:00+00:00,1,SL,-377.1999999999971,
2025-07-20 23:00:00+00:00,2025-07-21 00:00:00+00:00,1,SL,-603.6999999999971,
2025-07-21 18:15:00+00:00,2025-07-21 18:45:00+00:00,1,SL,-824.5,
2025-07-22 02:00:00+00:00,2025-07-22 02:45:00+00:00,1,SL,-648.6000000000058,
2025-07-22 08:15:00+00:00,2025-07-22 09:30:00+00:00,0,SL,-785.8000000000029,
2025-07-22 14:15:00+00:00,2025-07-22 15:00:00+00:00,0,SL,-755.6999999999971,
2025-07-23 10:45:00+00:00,2025-07-23 12:45:00+00:00,1,SL,-435.5,
2025-07-24 04:00:00+00:00,2025-07-24 05:15:00+00:00,0,TP,931.8000000000029,
2025-07-24 07:30:00+00:00,2025-07-24 15:00:00+00:00,1,TP,1367.3999999999942,
2025-07-25 05:00:00+00:00,2025-07-25 05:15:00+00:00,1,SL,-784.3000000000029,
2025-07-25 08:30:00+00:00,2025-07-25 23:30:00+00:00,1,TP,1827.199999999997,
2025-07-26 20:30:00+00:00,2025-07-26 22:15:00+00:00,0,SL,-211.3000000000029,
2025-07-27 07:30:00+00:00,2025-07-27 14:15:00+00:00,0,SL,-218.6999999999971,
2025-07-27 17:15:00+00:00,2025-07-27 22:00:00+00:00,0,SL,-470.5,
2025-07-28 19:30:00+00:00,2025-07-28 20:30:00+00:00,1,SL,-609.3000000000029,
2025-07-29 01:00:00+00:00,2025-07-29 03:45:00+00:00,0,SL,-631.6000000000058,
2025-07-29 07:15:00+00:00,2025-07-29 07:45:00+00:00,0,SL,-424.1999999999971,
2025-07-29 17:15:00+00:00,2025-07-29 20:00:00+00:00,1,SL,-677.8000000000029,
2025-07-30 09:30:00+00:00,2025-07-30 11:45:00+00:00,0,TP,744.0,
2025-07-30 15:45:00+00:00,2025-07-30 18:45:00+00:00,0,TP,1492.199999999997,
2025-07-30 20:00:00+00:00,2025-07-31 00:45:00+00:00,1,TP,1555.0,
2025-08-01 09:30:00+00:00,2025-08-01 11:00:00+00:00,1,SL,-679.8999999999942,
2025-08-01 14:00:00+00:00,2025-08-01 14:15:00+00:00,0,SL,-753.8999999999942,
2025-08-02 15:30:00+00:00,2025-08-02 15:45:00+00:00,1,SL,-391.3000000000029,
2025-08-02 19:45:00+00:00,2025-08-02 20:00:00+00:00,1,SL,-646.6999999999971,
2025-08-03 01:15:00+00:00,2025-08-03 11:00:00+00:00,1,TP,1331.3999999999942,
2025-08-03 20:15:00+00:00,2025-08-03 22:00:00+00:00,0,SL,-375.0,
2025-08-04 14:00:00+00:00,2025-08-05 03:00:00+00:00,1,SL,-415.8000000000029,
2025-08-05 21:00:00+00:00,2025-08-05 23:30:00+00:00,0,SL,-525.0,
2025-08-06 00:30:00+00:00,2025-08-06 05:30:00+00:00,0,SL,-388.3999999999942,
2025-08-07 04:00:00+00:00,2025-08-07 04:45:00+00:00,1,SL,-275.3999999999942,
2025-08-07 05:45:00+00:00,2025-08-07 08:15:00+00:00,1,TP,611.1999999999971,
2025-08-08 01:30:00+00:00,2025-08-08 16:30:00+00:00,0,TIME_STOP,806.0,
2025-08-09 11:00:00+00:00,2025-08-09 18:45:00+00:00,0,TP,843.3999999999942,
2025-08-09 20:45:00+00:00,2025-08-09 21:15:00+00:00,1,SL,-240.89999999999418,
2025-08-12 03:30:00+00:00,2025-08-12 13:30:00+00:00,0,SL,-445.1999999999971,
2025-08-12 16:45:00+00:00,2025-08-13 07:45:00+00:00,0,TIME_STOP,-56.0,
2025-08-14 19:00:00+00:00,2025-08-15 10:00:00+00:00,1,TIME_STOP,804.0,
2025-08-16 02:30:00+00:00,2025-08-16 17:30:00+00:00,0,TIME_STOP,-41.0,
2025-08-17 14:45:00+00:00,2025-08-17 16:45:00+00:00,0,TP,499.0,
2025-08-17 23:30:00+00:00,2025-08-18 01:15:00+00:00,0,TP,707.1999999999971,
2025-08-18 14:15:00+00:00,2025-08-18 15:30:00+00:00,0,SL,-572.5,
2025-08-18 18:15:00+00:00,2025-08-19 03:30:00+00:00,0,TP,1388.800000000003,
2025-08-19 05:00:00+00:00,2025-08-19 14:15:00+00:00,1,SL,-738.3999999999942,
2025-08-19 19:45:00+00:00,2025-08-19 23:45:00+00:00,1,SL,-659.5,
2025-08-20 02:30:00+00:00,2025-08-20 13:45:00+00:00,1,SL,-566.6999999999971,
2025-08-20 14:45:00+00:00,2025-08-21 05:45:00+00:00,1,TIME_STOP,498.0,
2025-08-21 08:00:00+00:00,2025-08-21 09:00:00+00:00,1,SL,-409.1999999999971,
2025-08-21 15:00:00+00:00,2025-08-21 19:30:00+00:00,0,TP,1290.3999999999942,
2025-08-21 20:30:00+00:00,2025-08-22 11:30:00+00:00,1,TIME_STOP,-182.0,
2025-08-23 15:45:00+00:00,2025-08-24 02:00:00+00:00,1,TP,767.6000000000058,
2025-08-24 03:00:00+00:00,2025-08-24 14:00:00+00:00,0,TP,620.1999999999971,
2025-08-25 14:30:00+00:00,2025-08-25 19:30:00+00:00,1,SL,-808.6999999999971,
2025-08-27 04:00:00+00:00,2025-08-27 07:15:00+00:00,1,SL,-525.6999999999971,
2025-08-27 09:15:00+00:00,2025-08-27 13:30:00+00:00,1,TP,812.0,
2025-08-28 13:00:00+00:00,2025-08-28 13:30:00+00:00,1,SL,-365.8999999999942,
2025-08-28 14:00:00+00:00,2025-08-28 14:45:00+00:00,0,SL,-413.6000000000058,
2025-08-28 16:30:00+00:00,2025-08-28 16:45:00+00:00,1,SL,-669.3999999999942,
2025-08-29 04:00:00+00:00,2025-08-29 05:30:00+00:00,1,SL,-487.8999999999942,
2025-08-29 19:30:00+00:00,2025-08-29 20:00:00+00:00,1,SL,-721.0,
2025-08-29 22:00:00+00:00,2025-08-30 01:45:00+00:00,1,SL,-694.5,
2025-08-30 16:30:00+00:00,2025-08-31 00:30:00+00:00,0,SL,-345.6999999999971,
2025-08-31 19:30:00+00:00,2025-08-31 23:30:00+00:00,0,TP,630.3999999999942,
2025-09-01 06:00:00+00:00,2025-09-01 07:45:00+00:00,1,TP,1234.199999999997,
2025-09-01 10:30:00+00:00,2025-09-01 13:15:00+00:00,0,SL,-623.6000000000058,
2025-09-01 22:30:00+00:00,2025-09-01 23:45:00+00:00,1,TP,1245.3999999999942,
2025-09-02 13:30:00+00:00,2025-09-02 13:45:00+00:00,1,TP,1320.800000000003,
2025-09-02 22:15:00+00:00,2025-09-03 00:15:00+00:00,0,SL,-598.6000000000058,
2025-09-03 08:00:00+00:00,2025-09-03 13:45:00+00:00,1,TP,799.3999999999942,
2025-09-03 18:45:00+00:00,2025-09-04 06:45:00+00:00,0,TP,1574.0,
2025-09-04 23:45:00+00:00,2025-09-05 02:00:00+00:00,0,SL,-528.8999999999942,
2025-09-05 18:30:00+00:00,2025-09-06 09:30:00+00:00,1,TIME_STOP,-254.0,
2025-09-07 04:30:00+00:00,2025-09-07 07:30:00+00:00,0,SL,-198.8000000000029,
2025-09-07 19:15:00+00:00,2025-09-08 00:45:00+00:00,1,SL,-277.6000000000058,
2025-09-08 03:00:00+00:00,2025-09-08 13:00:00+00:00,1,TP,953.6000000000058,
2025-09-10 02:30:00+00:00,2025-09-10 07:15:00+00:00,1,TP,798.0,
2025-09-10 09:15:00+00:00,2025-09-10 12:15:00+00:00,0,SL,-499.0,
2025-09-11 00:45:00+00:00,2025-09-11 01:15:00+00:00,0,SL,-353.8000000000029,
2025-09-11 07:30:00+00:00,2025-09-11 12:00:00+00:00,0,SL,-352.8000000000029,
2025-09-12 20:30:00+00:00,2025-09-13 11:30:00+00:00,0,TIME_STOP,26.0,
2025-09-14 03:00:00+00:00,2025-09-14 09:30:00+00:00,0,SL,-214.6999999999971,
