contract,date,p_prior,p1530,p1559,move_usd,r_rod,r_lh,dir,gross,net3,net2,yr
MNQZ21,2021-11-09,16332.25,16195.5,16218.0,45.0,-0.008373004331920009,0.0013892747985551068,-1,-45.0,-48.0,-47.0,2021
MNQZ21,2021-11-10,16218.0,15979.25,15994.5,30.5,-0.014721297323960991,0.0009543626891124202,-1,-30.5,-33.5,-32.5,2021
MNQZ21,2021-11-11,15994.5,16029.25,16022.75,-13.0,0.002172621838756994,-0.0004055086794454432,1,-13.0,-16.0,-15.0,2021
MNQZ21,2021-11-12,16022.75,16197.5,16190.25,-14.5,0.010906367508698667,-0.00044759993826204436,1,-14.5,-17.5,-16.5,2021
MNQZ21,2021-11-15,16190.25,16193.0,16178.75,-28.5,0.00016985531415514288,-0.0008800098808127155,1,-28.5,-31.5,-30.5,2021
MNQZ21,2021-11-16,16178.75,16303.25,16299.25,-8.0,0.007695279301553004,-0.00024534985355684213,1,-8.0,-11.0,-10.0,2021
MNQZ21,2021-11-17,16299.25,16314.75,16308.0,-13.5,0.0009509640014111476,-0.0004137360364088183,1,-13.5,-16.5,-15.5,2021
MNQZ21,2021-11-18,16308.0,16475.5,16483.25,15.5,0.010271032622025889,0.00047039543564686426,1,15.5,12.5,13.5,2021
MNQZ21,2021-11-19,16483.25,16577.25,16573.75,-7.0,0.005702758861268364,-0.00021113272708084274,1,-7.0,-10.0,-9.0,2021
MNQZ21,2021-11-22,16573.75,16549.0,16395.75,-306.5,-0.0014933252884833381,-0.009260378270590341,-1,306.5,303.5,304.5,2021
MNQZ21,2021-11-23,16395.75,16244.75,16304.75,120.0,-0.009209703734199381,0.0036935009772387506,-1,-120.0,-123.0,-122.0,2021
MNQZ21,2021-11-24,16304.75,16354.25,16366.0,23.5,0.0030359251138472043,0.0007184676765978892,1,23.5,20.5,21.5,2021
MNQZ21,2021-11-29,16366.0,16413.0,16398.75,-28.5,0.0028718074055968934,-0.0008682142204350374,1,-28.5,-31.5,-30.5,2021
MNQZ21,2021-11-30,16398.75,16120.5,16167.0,93.0,-0.01696775668877204,0.0028845259142085133,-1,-93.0,-96.0,-95.0,2021
MNQZ21,2021-12-01,16167.0,15979.25,15895.5,-167.5,-0.011613162615203843,-0.005241172145125761,-1,167.5,164.5,165.5,2021
