entry_time,exit_time,entry_price,exit_price,direction,pnl,exit_reason,gap_size,bars_held
2024-01-26 18:55:00+00:00,2024-01-26 19:00:00+00:00,17513.0,17535.0,bullish,6.0,gap_fill,480.0,1
2024-01-26 19:00:00+00:00,2024-01-26 20:40:00+00:00,17521.875,17527.75,bearish,-2.9375,time_exit,605.0,20
2024-01-26 19:05:00+00:00,2024-01-26 20:45:00+00:00,17523.5,17527.5,bearish,-2.0,time_exit,900.0,20
2024-01-26 19:10:00+00:00,2024-01-26 19:35:00+00:00,17528.625,17542.25,bearish,6.3125,gap_fill,505.0,5
2024-01-26 19:15:00+00:00,2024-01-26 19:40:00+00:00,17538.0,17551.25,bullish,4.0,gap_fill,320.0,5
2024-01-26 19:20:00+00:00,2024-01-26 19:25:00+00:00,17531.125,17531.75,bearish,2.6875,gap_fill,215.0,1
2024-01-26 19:25:00+00:00,2024-01-26 19:35:00+00:00,17530.875,17542.25,bullish,4.3125,gap_fill,345.0,2
2024-01-26 19:30:00+00:00,2024-01-26 19:35:00+00:00,17527.375,17542.25,bearish,3.5625,gap_fill,285.0,1
2024-01-26 19:35:00+00:00,2024-01-26 19:40:00+00:00,17523.375,17551.25,bullish,4.5625,gap_fill,365.0,1
2024-01-26 19:40:00+00:00,2024-01-26 20:40:00+00:00,17538.625,17527.75,bearish,10.3125,gap_fill,825.0,12
2024-01-26 19:45:00+00:00,2024-01-29 07:25:00+00:00,17539.75,17546.25,bearish,-3.25,time_exit,1020.0,20
2024-01-26 19:50:00+00:00,2024-01-26 20:20:00+00:00,17557.25,17546.25,bearish,8.25,gap_fill,660.0,6
2024-01-26 19:55:00+00:00,2024-01-26 20:00:00+00:00,17555.125,17558.75,bullish,5.0625,gap_fill,405.0,1
2024-01-26 20:00:00+00:00,2024-01-26 20:05:00+00:00,17562.375,17554.0,bearish,2.0625,gap_fill,165.0,1
2024-01-26 20:05:00+00:00,2024-01-26 20:15:00+00:00,17556.125,17563.5,bullish,3.9375,gap_fill,315.0,2
2024-01-26 20:10:00+00:00,2024-01-26 20:15:00+00:00,17557.5,17563.5,bullish,4.5,gap_fill,360.0,1
2024-01-26 20:15:00+00:00,2024-01-26 20:20:00+00:00,17557.875,17546.25,bearish,4.8125,gap_fill,385.0,1
2024-01-26 20:20:00+00:00,2024-01-26 20:25:00+00:00,17556.75,17538.0,bearish,4.125,gap_fill,330.0,1
2024-01-26 20:25:00+00:00,2024-01-29 08:05:00+00:00,17552.0,17542.25,bullish,-4.875,time_exit,620.0,20
2024-01-26 20:30:00+00:00,2024-01-29 08:10:00+00:00,17546.75,17552.25,bullish,2.75,time_exit,730.0,20
