timestamp,month,pnl_base,pnl_dep,cum_baseline,cum_deployed
1751912700000000000,2025-07,60.7,0.0,8.399999999999267,340.14999999999924
1751915040000000000,2025-07,-91.8,-91.8,-83.40000000000073,248.34999999999923
1751999100000000000,2025-07,48.2,0.0,-35.20000000000073,248.34999999999923
1752000420000000000,2025-07,28.2,0.0,-7.000000000000728,248.34999999999923
1752044460000000000,2025-07,-29.3,-29.3,-36.30000000000073,219.04999999999922
1752046260000000000,2025-07,5.7,5.7,-30.60000000000073,224.7499999999992
1752047880000000000,2025-07,45.7,45.7,15.099999999999273,270.4499999999992
1752070020000000000,2025-07,18.2,18.2,33.29999999999927,288.6499999999992
1752072420000000000,2025-07,50.7,50.7,83.99999999999928,339.34999999999917
1752072840000000000,2025-07,25.7,25.7,109.69999999999928,365.04999999999916
1752085200000000000,2025-07,-34.3,-34.3,75.39999999999928,330.74999999999915
1752171000000000000,2025-07,-21.8,-21.8,53.599999999999284,308.94999999999914
1752257580000000000,2025-07,8.2,8.2,61.79999999999929,317.1499999999991
1752257940000000000,2025-07,8.2,8.2,69.99999999999929,325.3499999999991
1752500220000000000,2025-07,53.2,53.2,123.19999999999929,378.5499999999991
1752500940000000000,2025-07,-222.8,-222.8,-99.60000000000072,155.7499999999991
1752516600000000000,2025-07,15.7,15.7,-83.90000000000072,171.44999999999908
1752519660000000000,2025-07,30.7,30.7,-53.20000000000071,202.14999999999907
1752586260000000000,2025-07,20.7,20.7,-32.50000000000071,222.84999999999906
1752589560000000000,2025-07,18.2,18.2,-14.300000000000711,241.04999999999905
1752590040000000000,2025-07,20.7,20.7,6.399999999999288,261.74999999999903
1752590760000000000,2025-07,45.7,45.7,52.09999999999929,307.449999999999
1752650040000000000,2025-07,-39.3,0.0,12.799999999999294,307.449999999999
1752652080000000000,2025-07,10.7,0.0,23.499999999999293,307.449999999999
1752690060000000000,2025-07,-16.8,-16.8,6.699999999999292,290.649999999999
1752775740000000000,2025-07,5.7,5.7,12.399999999999292,296.349999999999
1752776220000000000,2025-07,8.2,8.2,20.59999999999929,304.549999999999
1752776700000000000,2025-07,-11.8,-11.8,8.79999999999929,292.749999999999
1752777240000000000,2025-07,13.2,13.2,21.99999999999929,305.94999999999897
1752844620000000000,2025-07,-26.8,-26.8,-4.800000000000711,279.14999999999895
1752845280000000000,2025-07,80.7,80.7,75.8999999999993,359.84999999999894
1752846780000000000,2025-07,-24.3,-24.3,51.5999999999993,335.54999999999893
1752849360000000000,2025-07,23.2,23.2,74.7999999999993,358.7499999999989
1752850320000000000,2025-07,48.2,48.2,122.9999999999993,406.9499999999989
1752862920000000000,2025-07,-29.3,-29.3,93.6999999999993,377.6499999999989
1752865320000000000,2025-07,5.7,5.7,99.39999999999931,383.3499999999989
1753083960000000000,2025-07,-9.3,-9.3,90.09999999999931,374.0499999999989
1753168080000000000,2025-07,25.7,25.7,115.79999999999932,399.74999999999886
1753168560000000000,2025-07,-74.3,-74.3,41.49999999999932,325.44999999999885
1753189440000000000,2025-07,10.7,0.0,52.19999999999932,325.44999999999885
1753190220000000000,2025-07,5.7,0.0,57.899999999999324,325.44999999999885
1753191060000000000,2025-07,-11.8,0.0,46.099999999999326,325.44999999999885
1753194120000000000,2025-07,38.2,38.2,84.29999999999933,363.64999999999884
1753208580000000000,2025-07,5.7,0.0,89.99999999999933,363.64999999999884
1753280460000000000,2025-07,145.7,145.7,235.6999999999993,509.34999999999883
1753295400000000000,2025-07,93.2,93.2,328.8999999999993,602.5499999999988
1753343340000000000,2025-07,-16.8,-16.8,312.0999999999993,585.7499999999989
1753363920000000000,2025-07,-46.8,0.0,265.2999999999993,585.7499999999989
1753365240000000000,2025-07,-41.8,-41.8,223.49999999999926,543.9499999999989
1753367100000000000,2025-07,110.7,110.7,334.19999999999925,654.649999999999
1753380780000000000,2025-07,-89.3,0.0,244.89999999999924,654.649999999999
1753452240000000000,2025-07,-16.8,-16.8,228.09999999999923,637.849999999999
1753453380000000000,2025-07,-19.3,0.0,208.79999999999922,637.849999999999
1753468020000000000,2025-07,5.7,0.0,214.4999999999992,637.849999999999
1753468380000000000,2025-07,-9.3,0.0,205.1999999999992,637.849999999999
1753469160000000000,2025-07,-19.3,0.0,185.89999999999918,637.849999999999
1753686780000000000,2025-07,20.7,20.7,206.59999999999917,658.549999999999
1753688400000000000,2025-07,-14.3,-14.3,192.29999999999916,644.2499999999991
1753711440000000000,2025-07,20.7,20.7,212.99999999999915,664.9499999999991
1753726860000000000,2025-07,60.7,60.7,273.69999999999914,725.6499999999992
1753814160000000000,2025-07,5.7,5.7,279.3999999999991,731.3499999999992
1753814580000000000,2025-07,-11.8,-11.8,267.5999999999991,719.5499999999993
1753881420000000000,2025-07,13.2,0.0,280.7999999999991,719.5499999999993
1753882080000000000,2025-07,-6.8,0.0,273.9999999999991,719.5499999999993
1753882440000000000,2025-07,-56.8,0.0,217.19999999999908,719.5499999999993
1753884600000000000,2025-07,68.2,68.2,285.39999999999907,787.7499999999993
1753885560000000000,2025-07,-19.3,-19.3,266.09999999999906,768.4499999999994
1753886040000000000,2025-07,10.7,10.7,276.79999999999905,779.1499999999994
1753886700000000000,2025-07,10.7,10.7,287.49999999999903,789.8499999999995
1753899960000000000,2025-07,8.2,8.2,295.699999999999,798.0499999999995
1753900620000000000,2025-07,33.2,33.2,328.899999999999,831.2499999999995
1753901280000000000,2025-07,-29.3,-29.3,299.599999999999,801.9499999999996
1754055060000000000,2025-08,-34.3,-34.3,265.299999999999,767.6499999999996
1754059740000000000,2025-08,-104.3,-104.3,160.99999999999898,663.3499999999997
1754071320000000000,2025-08,-26.8,-26.8,134.19999999999897,636.5499999999997
1754072460000000000,2025-08,73.2,73.2,207.39999999999895,709.7499999999998
1754073240000000000,2025-08,35.7,35.7,243.09999999999894,745.4499999999998
1754073960000000000,2025-08,-56.8,-56.8,186.29999999999893,688.6499999999999
1754399580000000000,2025-08,-26.8,-26.8,159.49999999999892,661.8499999999999
1754400060000000000,2025-08,-44.3,0.0,115.19999999999892,661.8499999999999
