month,entry_time,exit_time,entry_price,exit_price,direction,pnl,exit_reason,killzone_window,lr_regime,cumulative_pnl
2025-09,2025-09-24T09:02:00+00:00,2025-09-24T09:38:00+00:00,112590.5,112820.0,bullish,227.5,target,London AM,SIDEWAYS,367.5
2025-09,2025-09-29T08:52:00+00:00,2025-09-29T08:54:00+00:00,112258.0,112188.0,bullish,-72.0,stop_loss,London AM,UP,295.5
2025-09,2025-09-30T08:17:00+00:00,2025-09-30T08:18:00+00:00,113785.5,113784.5,bullish,-3.0,stop_loss,London AM,SIDEWAYS,292.5
2025-09,2025-09-30T15:03:00+00:00,2025-09-30T15:04:00+00:00,113535.5,113478.5,bullish,-59.0,stop_loss,NY AM,UP,233.5
2025-09,2025-09-02T14:09:00+00:00,2025-09-02T14:16:00+00:00,111133.5,110820.0,bearish,311.5,target,NY AM,SIDEWAYS,545.0
2025-09,2025-09-03T08:31:00+00:00,2025-09-03T08:37:00+00:00,111156.0,111080.0,bearish,74.0,target,London AM,SIDEWAYS,619.0
2025-09,2025-09-17T14:28:00+00:00,2025-09-17T14:29:00+00:00,115854.0,115771.0,bearish,81.0,target,NY AM,SIDEWAYS,700.0
2025-09,2025-09-19T14:43:00+00:00,2025-09-19T14:45:00+00:00,116280.5,116175.0,bearish,103.5,target,NY AM,DOWN,803.5
2025-09,2025-09-23T14:41:00+00:00,2025-09-23T14:53:00+00:00,112946.0,112681.0,bearish,263.0,target,NY AM,SIDEWAYS,1066.5
2025-09,2025-09-26T08:33:00+00:00,2025-09-26T08:44:00+00:00,109623.0,109689.0,bearish,-68.0,stop_loss,London AM,DOWN,998.5
2025-09,2025-09-26T14:19:00+00:00,2025-09-26T14:22:00+00:00,109495.0,109237.0,bearish,256.0,target,NY AM,DOWN,1254.5
2025-10,2025-10-01T14:24:00+00:00,2025-10-01T14:32:00+00:00,117262.0,117132.0,bullish,-132.0,stop_loss,NY AM,UP,1122.5
2025-10,2025-10-07T08:11:00+00:00,2025-10-07T08:19:00+00:00,123647.5,123584.5,bullish,-65.0,stop_loss,London AM,SIDEWAYS,1057.5
2025-10,2025-10-13T08:16:00+00:00,2025-10-13T08:17:00+00:00,115435.5,115384.5,bullish,-53.0,stop_loss,London AM,SIDEWAYS,1004.5
2025-10,2025-10-20T08:38:00+00:00,2025-10-20T08:39:00+00:00,111405.5,111348.5,bullish,-59.0,stop_loss,London AM,UP,945.5
2025-10,2025-10-20T14:59:00+00:00,2025-10-20T15:02:00+00:00,111282.5,111201.5,bullish,-83.0,stop_loss,NY AM,SIDEWAYS,862.5
2025-10,2025-10-21T14:29:00+00:00,2025-10-21T14:49:00+00:00,109699.0,110652.0,bullish,951.0,target,NY AM,SIDEWAYS,1813.5
2025-10,2025-10-24T08:06:00+00:00,2025-10-24T08:12:00+00:00,110956.0,111216.0,bullish,258.0,target,London AM,UP,2071.5
