root,symbol,expiration_date,point_value,n_bars,first_date,last_date
PL,PLF24,2024-01-29T00:00:00Z,50,314,2022-10-27,2024-01-29
PL,PLJ24,2024-04-26T00:00:00Z,50,314,2023-01-27,2024-04-26
PL,PLN24,2024-07-29T00:00:00Z,50,316,2023-04-26,2024-07-29
PL,PLV24,2024-10-29T00:00:00Z,50,327,2023-07-14,2024-10-29
PL,PLF25,2025-01-29T00:00:00Z,50,389,2023-07-14,2025-01-29
PL,PLJ25,2025-04-28T00:00:00Z,50,450,2023-07-14,2025-04-28
PL,PLN25,2025-07-29T00:00:00Z,50,513,2023-07-14,2025-07-29
PL,PLV25,2025-10-29T00:00:00Z,50,578,2023-07-14,2025-10-29
PL,PLF26,2026-01-28T00:00:00Z,50,639,2023-07-14,2026-01-28
PL,PLJ26,2026-04-28T00:00:00Z,50,700,2023-07-14,2026-04-28
PL,PLN26,2026-07-29T00:00:00Z,50,753,2023-07-27,2026-07-29
PL,PLV26,2026-10-28T00:00:00Z,50,713,2023-10-27,2026-09-03
MNQ,MNQH20,2020-03-20T00:00:00Z,2,223,2019-05-03,2020-03-20
MNQ,MNQM20,2020-06-19T00:00:00Z,2,286,2019-05-03,2020-06-19
MNQ,MNQU20,2020-09-18T00:00:00Z,2,316,2019-06-20,2020-09-18
MNQ,MNQZ20,2020-12-18T00:00:00Z,2,316,2019-09-19,2020-12-17
MNQ,MNQH21,2021-03-19T00:00:00Z,2,314,2019-12-19,2021-03-19
MNQ,MNQM21,2021-06-18T00:00:00Z,2,316,2020-03-19,2021-06-18
MNQ,MNQU21,2021-09-17T00:00:00Z,2,316,2020-06-18,2021-09-17
MNQ,MNQZ21,2021-12-17T00:00:00Z,2,317,2020-09-17,2021-12-17
MNQ,MNQH22,2022-03-18T00:00:00Z,2,314,2020-12-17,2022-03-17
MNQ,MNQM22,2022-06-17T00:00:00Z,2,317,2021-03-18,2022-06-17
MNQ,MNQU22,2022-09-16T00:00:00Z,2,299,2021-06-17,2022-09-16
MNQ,MNQZ22,2022-12-16T00:00:00Z,2,274,2021-09-16,2022-12-15
MNQ,MNQH23,2023-03-17T00:00:00Z,2,314,2021-12-16,2023-03-17
MNQ,MNQM23,2023-06-16T00:00:00Z,2,316,2022-03-17,2023-06-16
MNQ,MNQU23,2023-09-15T00:00:00Z,2,316,2022-06-15,2023-09-15
MNQ,MNQZ23,2023-12-15T00:00:00Z,2,324,2022-09-06,2023-12-15
MNQ,MNQH24,2024-03-15T00:00:00Z,2,315,2022-12-14,2024-03-15
MNQ,MNQM24,2024-06-21T00:00:00Z,2,320,2023-03-16,2024-06-21
MNQ,MNQU24,2024-09-20T00:00:00Z,2,320,2023-06-14,2024-09-20
MNQ,MNQZ24,2024-12-20T00:00:00Z,2,328,2023-09-05,2024-12-20
MNQ,MNQH25,2025-03-21T00:00:00Z,2,325,2023-12-04,2025-03-21
MNQ,MNQM25,2025-06-20T00:00:00Z,2,326,2024-03-04,2025-06-20
MNQ,MNQU25,2025-09-19T00:00:00Z,2,321,2024-06-10,2025-09-19
MNQ,MNQZ25,2025-12-19T00:00:00Z,2,323,2024-09-09,2025-12-19
MNQ,MNQH26,2026-03-20T00:00:00Z,2,320,2024-12-09,2026-03-20
MNQ,MNQM26,2026-06-18T00:00:00Z,2,322,2025-03-10,2026-06-18
MNQ,MNQU26,2026-09-18T00:00:00Z,2,313,2025-06-09,2026-09-04
MNQ,MNQZ26,2026-12-18T00:00:00Z,2,250,2025-09-08,2026-09-03
